Plot_ID,Date Sampled,Chamber_ID,Core_ID,Sample_ID,Year,Location/Treatment,Site,Sand content (%),Clay content (%),Silt content (%),Bulk density (g/cm^3),Total porosity (%),Volumetric soil water content (%),Air-filled porosity (%),Water-filled pore space (%),Soil pH,Gravimetric soil water content (%),NH4 concentration (mg N/kg d.s.),NO3 concentration (mg N/kg d.s.),Chamber temperature (C),CH4 at Time 0 (PPM),CH4 at Time 0 (mol/cm^3),CH4 (mg CH4-C/m^2/day),CH4_A (mol/cm^2/min),CO2 (mg CO2-C/m2/day),Diffusivity (cm^2/s),Mu (/min)
SGL,6/10/2011,SGL_4,848,196,2011,Lowland,SG,42.97358589,28.5132071,28.5132071,1.24,53.20754717,0,53.20754717,0,n/a,0,n/a,n/a,n/a,1.732550992,7.62866E-11,0.028849444,1.66814E-13,3.16102307,0.244242163,n/a
SGL,6/10/2011,SGL_5,849,197,2011,Lowland,SG,53.61967944,28.3435292,18.0367913,1.24,53.20754717,0,53.20754717,0,n/a,0,n/a,n/a,n/a,1.741347721,7.66739E-11,-0.377026247,-2.18005E-12,4.029905138,0.072791585,n/a
SGL,6/10/2011,SGL_6,850,198,2011,Lowland,SG,58.69318182,20.6534091,20.6534091,1.24,53.20754717,0,53.20754717,0,n/a,0,n/a,n/a,n/a,1.692415781,7.45194E-11,-0.403119732,-2.33093E-12,3.488042284,0.035797741,n/a
SGL,6/23/2011,SGL_4,854,202,2011,Lowland,SG,42.97358589,28.5132071,28.5132071,1.24,53.20754717,0,53.20754717,0,n/a,0,n/a,n/a,n/a,1.549589602,6.82306E-11,-2.82329134,-1.63249E-11,6.71024779,0.579968498,n/a
SGL,6/23/2011,SGL_5,855,203,2011,Lowland,SG,53.61967944,28.3435292,18.0367913,1.24,53.20754717,0,53.20754717,0,n/a,0,n/a,n/a,n/a,1.299342214,5.72118E-11,-0.446425495,-2.58133E-12,5.896798789,0.538653013,n/a
SGL,6/23/2011,SGL_6,856,204,2011,Lowland,SG,58.69318182,20.6534091,20.6534091,1.24,53.20754717,0,53.20754717,0,n/a,0,n/a,n/a,n/a,1.12832646,4.96818E-11,-2.165619907,-1.25221E-11,4.13485664,0.21690559,n/a
SGL,7/3/2012,SGL_3,1401,1368,2012,Lowland,SG,44.84369353,34.1443802,21.0119263,1.24,53.20754717,0,53.20754717,0,n/a,0,n/a,n/a,n/a,1.921195925,8.45929E-11,-0.264639266,-1.5302E-12,0.294295989,0.589657413,n/a
SGU,6/10/2011,SGU_4,845,214,2011,Upland,SG,69.11330049,18.0172414,12.8694581,1.31,50.56603774,0,50.56603774,0,n/a,0,n/a,n/a,n/a,1.896488411,8.3505E-11,-0.160885333,-9.30274E-13,4.204974802,0.038142868,n/a
SGU,6/10/2011,SGU_5,846,215,2011,Upland,SG,64.16318806,20.4781783,15.3586337,1.31,50.56603774,0,50.56603774,0,n/a,0,n/a,n/a,n/a,2.199536553,9.68486E-11,-0.548926963,-3.17402E-12,3.530248785,0.306445494,n/a
SGU,6/10/2011,SGU_6,847,216,2011,Upland,SG,69.16668633,15.4166568,15.4166568,1.31,50.56603774,0,50.56603774,0,n/a,0,n/a,n/a,n/a,1.988362754,8.75503E-11,-0.529004051,-3.05882E-12,3.120925156,0.020915538,n/a
SGU,6/23/2011,SGU_4,851,220,2011,Upland,SG,69.11330049,18.0172414,12.8694581,1.31,50.56603774,0,50.56603774,0,n/a,0,n/a,n/a,n/a,1.925449443,8.47802E-11,-1.192238007,-6.89378E-12,2.923792094,0.12841562,n/a
SGU,6/23/2011,SGU_5,852,221,2011,Upland,SG,64.16318806,20.4781783,15.3586337,1.31,50.56603774,0,50.56603774,0,n/a,0,n/a,n/a,n/a,0,0,-1.202590856,-6.95364E-12,2.27473203,n/a,n/a
SGU,6/23/2011,SGU_6,853,222,2011,Upland,SG,69.16668633,15.4166568,15.4166568,1.31,50.56603774,0,50.56603774,0,n/a,0,n/a,n/a,n/a,1.888861295,8.31692E-11,-1.675347168,-9.68722E-12,2.343601099,0.350673687,n/a
SVB,6/28/2011,SVB_3,857,249,2011,B,SV,60.74892241,18.3171695,20.933908,1.43,46.03773585,0,46.03773585,0,n/a,0,n/a,n/a,n/a,1.897222509,8.35373E-11,-0.789029961,-4.56234E-12,n/a,1.138202669,n/a
SVC,6/24/2013,SVC_1,2467,2446,2013,Control,SV,58.50285916,23.3421417,18.1549991,1.29,51.32075472,0.58656873,50.73418599,1.142946423,8.23,0.454704442,5.245213877,1.038188594,22.61111111,1.809872162,7.96912E-11,n/a,n/a,n/a,0.655298136,n/a
SHU,10/11/2012,SHU_2,2042,1997,2012,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,0.913787085,40.97300537,2.181563761,5.91,0.593368237,4.023482382,2.22049187,8.765036473,1.917016564,8.44089E-11,-0.013668311,-7.90332E-14,0.225966005,0.748654011,n/a
SHU,9/2/2013,SHU_4,2992,2947,2013,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,1.001368925,40.88542353,2.390655543,6.21,0.650239562,1.107505292,0.533222795,23.9,1.894260687,8.34069E-11,-0.906784668,-5.24323E-12,1.90485082,0.686412178,0.014081209
SHU,7/16/2012,SHU_6,1566,1533,2012,Upland,SH,94.66507177,2.66746411,2.66746411,1.54,41.88679245,1.018447616,40.86834484,2.431428994,6.05,0.661329621,1.280183413,1.388783614,34.20819443,2.134118218,9.39682E-11,-0.764336176,-4.41956E-12,1.169555786,0.820856764,0.006593895
SHU,10/11/2012,SHU_6,2046,2001,2012,Upland,SH,94.66507177,2.66746411,2.66746411,1.54,41.88679245,1.077676697,40.80911576,2.572831754,5.69,0.699790063,3.387599915,1.948395825,8.887017621,2.035223341,8.96137E-11,-0.769787335,-4.45108E-12,0.122822858,7.912696737,0.000764012
SHU,10/11/2012,SHU_4,2044,1999,2012,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,1.119806094,40.76698636,2.673410944,6.49,0.727146814,1.185881297,0.592023124,8.918374045,1.942715824,8.55404E-11,-0.52658702,-3.04484E-12,0.327821145,2.282690923,0.001361541
SHU,9/2/2013,SHU_6,2994,2949,2013,Upland,SH,94.66507177,2.66746411,2.66746411,1.54,41.88679245,1.122916667,40.76387579,2.680837088,5.82,0.729166667,2.617947534,0.738860128,22.7,1.947160589,8.57362E-11,-1.488878869,-8.60902E-12,1.727142059,0.574287929,0.043069974
SHU,7/31/2012,SHU_1,1681,1636,2012,Upland,SH,94.72744084,0,5.27255916,1.54,41.88679245,1.216346154,40.6704463,2.903889467,6.02,0.789835165,n/a,n/a,38.57718514,1.721632683,7.58058E-11,-0.088018391,-5.08942E-13,1.424110386,0.844447293,0.000131244
SVS,6/18/2013,SVS_6,2418,2397,2013,Short,SV,71.21838873,13.0825506,15.6990607,1.29,51.32075472,1.063186813,50.2575679,2.071650775,8.18,0.824175824,3.650387371,3.592624712,24.55555556,1.844842734,8.1231E-11,-0.08833688,-5.10783E-13,0.070578761,1.102320242,7.13708E-05
SHU,7/16/2012,SHU_1,1561,1528,2012,Upland,SH,94.72744084,0,5.27255916,1.54,41.88679245,1.282887886,40.60390457,3.062750359,6.25,0.833044082,1.961656534,1.1550011,34.31815232,2.049694697,9.02509E-11,-0.092841582,-5.3683E-13,1.401866604,2.715064587,n/a
SHU,7/16/2012,SHU_4,1564,1531,2012,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,1.289602232,40.59719022,3.078780104,6.09,0.837404047,1.816101766,0.789691195,34.32094423,2.151955434,9.47535E-11,-0.012298311,-7.11115E-14,1.440557715,1.107852087,1.25231E-06
SHU,7/31/2012,SHU_6,1686,1641,2012,Upland,SH,94.66507177,2.66746411,2.66746411,1.54,41.88679245,1.30049261,40.58629984,3.104779655,6.26,0.844475721,1.784528477,1.618015387,38.61217439,1.714321675,7.54839E-11,-0.181485195,-1.04939E-12,0.797244285,0.367569021,0.00129552
SHU,9/2/2013,SHU_5,2993,2948,2013,Upland,SH,94.84451662,0,5.15548338,1.54,41.88679245,1.301866854,40.5849256,3.108060507,6.18,0.845368087,1.41666976,0.514263028,24.3,1.948527108,8.57963E-11,-1.400456679,-8.09775E-12,2.32218959,0.53539798,0.040996761
SHU,7/31/2012,SHU_2,1682,1637,2012,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,1.302784632,40.58400782,3.1102516,6.36,0.845964047,2.103753319,2.848796547,38.61312745,1.718900839,7.56856E-11,-0.032555859,-1.88245E-13,1.039152321,0.573983802,n/a
SHU,7/31/2012,SHU_5,1685,1640,2012,Upland,SH,94.84451662,0,5.15548338,1.54,41.88679245,1.326671261,40.56012119,3.167278236,6.06,0.861474845,2.445027393,1.224175512,38.62305984,1.803295419,7.94016E-11,-0.631649097,-3.65233E-12,0.88604161,0.463959763,0.011243539
SHU,7/31/2012,SHU_3,1683,1638,2012,Upland,SH,89.69460004,0,10.3054,1.54,41.88679245,1.340529249,40.5462632,3.20036262,5.46,0.870473538,n/a,n/a,38.62882218,1.636698323,7.20661E-11,0.347271957,2.008E-12,0.572807905,0.381241137,n/a
SHU,7/31/2012,SHU_4,1684,1639,2012,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,1.390277778,40.49651467,3.319131632,6.05,0.902777778,2.145935319,0.5516067,38.6495083,1.66702126,7.34012E-11,0.050801064,2.93743E-13,0.761322334,0.766512446,n/a
SHL,7/31/2012,SHL_3,1677,1632,2012,Lowland,SH,92.26716429,0,7.73283571,1.38,47.9245283,1.246699096,46.67782921,2.601380003,6.07,0.903405142,3.591845296,3.886602518,23.30677066,1.709590643,7.52756E-11,-0.159252026,-9.2083E-13,0.556547956,0.094320541,n/a
SHU,9/18/2012,SHU_3,1935,1890,2012,Upland,SH,89.69460004,0,10.3054,1.54,41.88679245,1.412844037,40.47394842,3.373006035,6.213333333,0.917431193,2.93963228,2.581956646,15.65401108,1.888715852,8.31627E-11,-1.280019558,-7.40135E-12,1.248520741,0.021299832,0.918782648
SHL,10/11/2012,SHL_5,2039,1994,2012,Lowland,SH,94.69010511,2.65494744,2.65494744,1.38,47.9245283,1.29645094,46.62807736,2.705192907,5.75,0.939457203,2.401159231,2.895952354,8.477991904,2.266511763,9.97976E-11,-1.883711013,-1.0892E-11,0.252058356,0.874137243,0.029224699
SHU,7/16/2012,SHU_5,1565,1532,2012,Upland,SH,94.84451662,0,5.15548338,1.54,41.88679245,1.449790795,40.43700166,3.461212258,5.98,0.941422594,1.000398235,0.627437751,34.38755284,2.170890413,9.55873E-11,-0.346680678,-2.00458E-12,1.669230066,0.371932764,0.002924184
SHU,10/11/2012,SHU_3,2043,1998,2012,Upland,SH,89.69460004,0,10.3054,1.54,41.88679245,1.458947368,40.42784508,3.483072546,5.86,0.947368421,2.851818614,1.996533055,9.170792983,2.349124308,1.03435E-10,-1.032558713,-5.97048E-12,0.277717035,0.320560821,0.025709348
SHU,9/18/2012,SHU_4,1936,1891,2012,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,1.500870171,40.38592228,3.583158516,6.043333333,0.97459102,5.322608185,0.879773266,15.69061355,1.827960855,8.04876E-11,-0.882103261,-5.10051E-12,3.918296721,n/a,n/a
SHL,10/11/2012,SHL_6,2040,1995,2012,Lowland,SH,92.01028472,5.32647685,2.66323843,1.38,47.9245283,1.3486911,46.5758372,2.814197964,5.5,0.977312391,1.439128624,5.58664273,9.930214126,1.784910069,7.8592E-11,0.618535306,3.57651E-12,0.438249124,7.951555488,n/a
SHL,7/16/2012,SHL_3,1557,1524,2012,Lowland,SH,92.26716429,0,7.73283571,1.38,47.9245283,1.350104821,46.57442348,2.817147855,5.88,0.978336827,2.184278708,4.40271048,24.05810731,1.902134638,8.37536E-11,-0.550165224,-3.18118E-12,1.630595181,0.43906951,0.007054847
SHL,7/31/2012,SHL_5,1679,1634,2012,Lowland,SH,94.69010511,2.65494744,2.65494744,1.38,47.9245283,1.35864979,46.56587851,2.834977907,5.7,0.984528833,3.852211124,2.485648524,23.27640878,1.777484178,7.82651E-11,-0.164195508,-9.49414E-13,0.646721612,0.508654041,0.000621277
SHU,7/16/2012,SHU_3,1563,1530,2012,Upland,SH,89.69460004,0,10.3054,1.54,41.88679245,1.553391304,40.33340115,3.708546807,6.04,1.008695652,2.093061065,0.541937142,34.43063135,2.10420412,9.2651E-11,-0.355293382,-2.05438E-12,0.993818953,1.371959838,0.000888499
SHU,9/2/2013,SHU_2,2990,2945,2013,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,1.574753174,40.31203928,3.759545865,6.04,1.022566996,2.389745378,0.766037376,23.7,1.956070176,8.61285E-11,-1.044523073,-6.03966E-12,2.083137965,0.478562205,0.025489342
SHU,6/25/2012,SHU_1,1441,1408,2012,Upland,SH,94.72744084,0,5.27255916,1.54,41.88679245,1.592005514,40.29478694,3.800733884,5.96,1.033769814,2.032697979,1.53426416,25.7727163,1.954059888,8.60399E-11,-0.585691955,-3.3866E-12,1.621022116,0.755307739,0.005090431
SHU,8/12/2013,SHU_5,2921,2876,2013,Upland,SH,94.84451662,0,5.15548338,1.54,41.88679245,1.597510373,40.28928208,3.813876116,6.2,1.037344398,3.991096071,0.471013914,32.55555556,1.943698326,8.55837E-11,-1.236004077,-7.14685E-12,5.605946191,0.692279779,0.025002042
SHU,9/2/2013,SHU_3,2991,2946,2013,Upland,SH,89.69460004,0,10.3054,1.54,41.88679245,1.611440531,40.27535192,3.847132799,5.89,1.046389955,5.365504006,1.3251603,21.8,1.967115875,8.66148E-11,-1.490383983,-8.61773E-12,1.852759297,0.430601092,0.057080342
SHL,10/11/2012,SHL_4,2038,1993,2012,Lowland,SH,92.1325355,2.62248817,5.24497633,1.38,47.9245283,1.493193718,46.43133458,3.115719174,5.99,1.082024433,0.946440333,0.899190649,9.516880793,1.842128137,8.11114E-11,-1.474444385,-8.52556E-12,0.341841671,1.066016981,0.022320628
SHU,9/18/2012,SHU_2,1934,1889,2012,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,1.671568628,40.21522382,3.99068186,6.103333333,1.085434174,2.575430673,3.251178334,15.76159231,1.972899877,8.68695E-11,-0.771528162,-4.46114E-12,n/a,n/a,n/a
SHU,6/8/2011,SHU_5,11,239,2011,Upland,SH,94.84451662,0,5.15548338,1.54,41.88679245,1.715280194,40.17151226,4.095038302,6.75,1.113818308,4.055052984,4.414964558,19.4002084,1.93820997,8.5342E-11,-1.689290766,-9.76785E-12,1.962786863,0.291240024,0.111970213
SHU,9/18/2012,SHU_1,1933,1888,2012,Upland,SH,94.72744084,0,5.27255916,1.54,41.88679245,1.725490196,40.16130226,4.11941353,5.933333333,1.120448179,4.909644159,3.727838096,15.78401364,1.90283871,8.37846E-11,-1.33364278,-7.71141E-12,n/a,n/a,n/a
SHU,8/12/2013,SHU_4,2920,2875,2013,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,1.733990147,40.15280231,4.139706207,6.27,1.125967628,5.48510163,0.405244378,33.55555556,1.997504464,8.79529E-11,-1.378572629,-7.97121E-12,3.635516031,0.757347295,0.027010798
SHU,8/2/2011,SHU_6,528,511,2011,Upland,SH,94.66507177,2.66746411,2.66746411,1.54,41.88679245,1.737046175,40.14974628,4.147002131,5.92,1.127952062,1.3386012,4.706022453,36.79491465,1.876522377,8.26259E-11,-1.555703294,-8.99542E-12,2.775945176,0.402690425,0.073308868
SHU,8/2/2011,SHU_4,526,509,2011,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,1.760304814,40.12648764,4.202529511,6.34,1.143055074,0.317332114,6.283671513,36.80458591,1.918042285,8.4454E-11,-1.609071423,-9.304E-12,2.890960266,1.02699271,0.029451021
SHU,8/21/2012,SHU_2,1778,1733,2012,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,1.783157895,40.10363456,4.257088668,5.88,1.157894737,1.978913862,2.380894887,21.74149191,1.850409231,8.14761E-11,-0.254789458,-1.47325E-12,0.618978392,0.209474695,0.003892034
SHU,7/9/2013,SHU_6,2622,2601,2013,Upland,SH,94.66507177,2.66746411,2.66746411,1.54,41.88679245,1.794491525,40.09230093,4.284146434,5.95,1.165254237,1.736532539,0.987172481,24.94444444,2.019667678,8.89287E-11,-1.255215011,-7.25793E-12,2.28709042,2.651116931,0.006266876
SHU,8/12/2013,SHU_6,2922,2877,2013,Upland,SH,94.66507177,2.66746411,2.66746411,1.54,41.88679245,1.803651396,40.08314106,4.306014593,6.21,1.171202205,n/a,n/a,31.05555556,1.940683369,8.5451E-11,-0.940850412,-5.4402E-12,3.081894,0.555782439,0.018194067
SHL,7/31/2012,SHL_4,1678,1633,2012,Lowland,SH,92.1325355,2.62248817,5.24497633,1.38,47.9245283,1.684100418,46.24042788,3.514067802,5.87,1.220362622,4.94094398,3.019647615,23.18814409,1.843337043,8.11647E-11,-0.515101201,-2.97843E-12,1.189545338,0.318496731,0.009143519
SHL,7/31/2012,SHL_6,1680,1635,2012,Lowland,SH,92.01028472,5.32647685,2.66323843,1.38,47.9245283,1.684100418,46.24042788,3.514067802,5.44,1.220362622,3.589234953,5.750164409,23.18814409,1.782652649,7.84926E-11,-0.2523157,-1.45894E-12,0.526003021,0.497973677,0.001500346
SHU,7/24/2013,SHU_2,2714,2693,2013,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,1.880669923,40.00612253,4.489887655,6.04,1.221214236,1.11198652,1.162876978,28.44444444,1.939909312,8.54169E-11,-0.656496737,-3.79601E-12,5.484679519,0.493738934,0.009998688
SHU,8/21/2012,SHU_6,1782,1737,2012,Upland,SH,94.66507177,2.66746411,2.66746411,1.54,41.88679245,1.88659433,40.00019812,4.504031508,6.13,1.225061253,1.012817405,0.901649818,21.7845022,1.984308397,8.73718E-11,-0.598416324,-3.46017E-12,0.65872572,0.325181217,0.012057729
SHL,7/16/2012,SHL_4,1558,1525,2012,Lowland,SH,92.1325355,2.62248817,5.24497633,1.38,47.9245283,1.694736842,46.22979146,3.536261913,5.73,1.228070175,2.666919663,2.56747179,23.96464049,1.913629026,8.42597E-11,-0.654702286,-3.78563E-12,1.918324602,0.106871112,0.040855876
SVL,7/16/2012,SVL_6,1524,1491,2012,Long,SV,71.58091344,10.3342133,18.0848733,1.29,51.32075472,1.584210526,49.73654419,3.086880804,8.5,1.228070175,1.136258484,1.288934647,31.8589971,2.034730724,8.9592E-11,-2.557158811,-1.47861E-11,2.296087023,0.023857876,2.295401751
SHU,7/16/2012,SHU_2,1562,1529,2012,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,1.895218003,39.99157445,4.524619557,6.15,1.230661041,2.198143644,1.343418249,34.57276758,2.058104089,9.06211E-11,0.04839178,2.79812E-13,1.531525571,0.738241162,n/a
SHU,7/9/2013,SHU_4,2620,2599,2013,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,1.91106515,39.9757273,4.562452835,6.43,1.240951396,0.483917316,0.668046831,24.61111111,1.951397545,8.59227E-11,-0.442417729,-2.55816E-12,2.699856952,1.204324132,0.001841189
SHL,7/16/2012,SHL_5,1559,1526,2012,Lowland,SH,94.69010511,2.65494744,2.65494744,1.38,47.9245283,1.715808171,46.20872013,3.580229647,5.99,1.243339254,1.670586857,2.400671007,23.95892578,1.8640457,8.20765E-11,-0.026309453,-1.52127E-13,1.169729169,0.279099593,2.66374E-05
SVL,6/28/2011,SVL_6,120,300,2011,Long,SV,71.58091344,10.3342133,18.0848733,1.29,51.32075472,1.613060091,49.70769463,3.14309503,8.18,1.250434179,n/a,n/a,n/a,1.67271675,7.3652E-11,n/a,n/a,n/a,n/a,n/a
SHU,8/2/2011,SHU_5,527,510,2011,Upland,SH,94.84451662,0,5.15548338,1.54,41.88679245,1.953488372,39.93330408,4.663733501,5.84,1.268498943,0.686578364,5.782816691,36.88491428,1.860395596,8.19158E-11,-1.532394297,-8.86064E-12,2.426147188,0.804745997,0.036408346
SHU,8/21/2012,SHU_5,1781,1736,2012,Upland,SH,94.84451662,0,5.15548338,1.54,41.88679245,1.979847115,39.90694534,4.726662032,6.18,1.28561501,3.761308796,2.038975391,21.82327799,1.948736484,8.58055E-11,-1.632804388,-9.44123E-12,1.404186451,0.406635947,0.074605768
SHU,6/27/2013,SHU_2,2510,2489,2013,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,1.991611325,39.89518113,4.754747757,5.75,1.293254107,0.780618096,2.572666661,34.83333333,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SHU,6/8/2011,SHU_4,10,238,2011,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,1.993004547,39.89378791,4.758073919,6.29,1.294158797,6.209630082,4.058824182,19.51569,2.010880796,8.85418E-11,-0.219605034,-1.2698E-12,0.316287668,4.00824886,0.000128622
SVS,6/18/2013,SVS_3,2415,2394,2013,Short,SV,60.81850534,20.8967972,18.2846975,1.29,51.32075472,1.669464848,49.65128987,3.253001358,8.11,1.294158797,3.876898292,1.87957483,21.55555556,1.792876676,7.89428E-11,-0.028194478,-1.63027E-13,n/a,0.479561414,n/a
SHU,9/2/2013,SHU_1,2989,2944,2013,Upland,SH,94.72744084,0,5.27255916,1.54,41.88679245,2.007044734,39.87974772,4.791593283,6.36,1.303275801,1.433342223,0.27176902,21.4,1.953690524,8.60237E-11,-0.713492196,-4.12557E-12,1.571028558,0.542665384,0.010627888
SHU,8/12/2013,SHU_2,2918,2873,2013,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,2.017705382,39.86908707,4.81704438,5.68,1.3101983,4.623400823,0.984455996,29.55555556,1.969334456,8.67125E-11,-0.984781927,-5.69422E-12,3.605269502,0.574807541,0.018816854
SHL,10/11/2012,SHL_3,2037,1992,2012,Lowland,SH,92.26716429,0,7.73283571,1.38,47.9245283,1.814532872,46.10999543,3.786230009,5.74,1.314878893,3.364679258,4.23753872,8.390214126,1.89652282,8.35065E-11,-0.387363982,-2.23982E-12,0.286127905,1.042495512,0.001496641
SHL,8/12/2013,SHL_5,2915,2870,2013,Lowland,SH,94.69010511,2.65494744,2.65494744,1.38,47.9245283,1.816435433,46.10809287,3.790199919,6.29,1.31625756,4.333274086,1.046544727,26.44444444,1.842124606,8.11113E-11,-0.57975528,-3.35227E-12,8.192553657,0.521206374,0.0071077
SVS,6/18/2013,SVS_1,2413,2392,2013,Short,SV,63.09823678,15.8150414,21.0867218,1.29,51.32075472,1.711592178,49.60916254,3.3350877,7.96,1.326815642,4.477072584,2.734134537,21.83333333,1.841155952,8.10686E-11,-0.42609747,-2.46379E-12,n/a,11.75494434,0.000158387
SHL,10/11/2012,SHL_2,2036,1991,2012,Lowland,SH,94.66847553,2.66576223,2.66576223,1.38,47.9245283,1.834849546,46.08967876,3.828623068,5.46,1.32960112,5.389169841,6.964016276,8.706880793,1.906572556,8.3949E-11,-1.137661821,-6.57821E-12,0.36154289,2.455687908,0.005425096
SHU,8/2/2011,SHU_2,524,507,2011,Upland,SH,94.69615936,2.65192032,2.65192032,1.54,41.88679245,2.049737303,39.83705515,4.893516986,6.29,1.330998249,0.52979494,5.600039309,36.92493591,2.0069551,8.8369E-11,-2.025755148,-1.17134E-11,3.388936403,0.456543663,0.096603668
SHU,9/18/2012,SHU_5,1937,1892,2012,Upland,SH,94.84451662,0,5.15548338,1.54,41.88679245,2.053333333,39.83345912,4.902102101,6.143333333,1.333333333,0.498022927,1.541758908,15.92033531,1.789514,7.87948E-11,-0.5235178,-3.02709E-12,1.317948144,0.061392567,0.06035225
SHU,7/9/2013,SHU_3,2619,2598,2013,Upland,SH,89.69460004,0,10.3054,1.54,41.88679245,2.053333333,39.83345912,4.902102101,5.79,1.333333333,7.530006948,1.185572257,23.22222222,1.904120158,8.3841E-11,-0.973185203,-5.62717E-12,2.000935698,4.500829528,0.002512617
SHU,8/21/2012,SHU_1,1777,1732,2012,Upland,SH,94.72744084,0,5.27255916,1.54,41.88679245,2.073895028,39.81289743,4.951190832,5.58,1.346685083,4.007255048,1.714647566,21.8623844,1.845948224,8.12796E-11,-0.49101807,-2.83917E-12,1.714436641,0.439422296,0.006974525
SHU,6/8/2011,SHU_3,9,237,2011,Upland,SH,89.69460004,0,10.3054,1.54,41.88679245,2.078863233,39.80792922,4.963051862,5.99,1.34991119,n/a,n/a,19.55139121,1.934345999,8.51719E-11,0.010226437,5.91315E-14,0.319467721,n/a,n/a
SHU,5/23/2012,SHU_4,1036,1015,2012,Upland,SH,97.42181975,2.57818025,6.22E-15,1.54,41.88679245,2.101469559,39.78532289,5.017021921,6.04,1.364590623,1.667556916,0.610200657,19.72421388,1.879032564,8.27364E-11,-1.457328387,-8.42659E-12,2.38509085,0.407844783,0.063928279
SHU,8/2/2011,SHU_3,525,508,2011,Upland,SH,89.69460004,0,10.3054,1.54,41.88679245,2.108848314,39.77794414,5.034637866,6.45,1.369382022,0.449374392,5.114740953,36.94951508,1.825298452,8.03704E-11,-1.43989373,-8.32578E-12,2.178149185,0.626963893,0.043030146
SHL,9/2/2013,SHL_5,2987,2942,2013,Lowland,SH,94.69010511,2.65494744,2.65494744,1.38,47.9245283,1.890410959,46.03411734,3.944558301,5.52,1.369863014,n/a,n/a,18,1.906154199,8.39306E-11,-0.890953859,-5.15169E-12,4.244913932,0.474088078,0.017263152
SHU,5/23/2012,SHU_1,1033,1012,2012,Upland,SH,94.72744084,0,5.27255916,1.54,41.88679245,2.111814346,39.77497811,5.041718935,5.97,1.371308017,3.606615236,0.540850743,19.72851539,1.84216716,8.11131E-11,-0.989863448,-5.72361E-12,2.055054024,0.262252436,0.047733975
SHU,8/12/2013,SHU_1,2917,2872,2013,Upland,SH,94.72744084,0,5.27255916,1.54,41.88679245,2.127806562,39.75898589,5.07989855,5.39,1.381692573,6.620336743,0.657566136,32.5,1.984040539,8.736E-11,-0.884950473,-5.11698E-12,2.917383019,1.802469366,0.004787384
SVS,6/28/2011,SVS_6,114,294,2011,Short,SV,71.21838873,13.0825506,15.6990607,1.29,51.32075472,1.804195805,49.51655891,3.51552859,8.43,1.398601399,6.333769819,1.889763652,n/a,1.889992513,8.3219E-11,0.255169437,1.47545E-12,n/a,1.01695431,n/a
SHL,9/18/2012,SHL_6,1932,1887,2012,Lowland,SH,92.01028472,5.32647685,2.66323843,1.38,47.9245283,1.936162749,45.98836555,4.040024634,5.503333333,1.403016485,1.818590647,4.632746825,14.70027185,1.803690272,7.9419E-11,-0.51692365,-2.98897E-12,0.826342772,0.782445324,0.00393633
SHL,9/2/2013,SHL_2,2984,2939,2013,Lowland,SH,94.66847553,2.66576223,2.66576223,1.38,47.9245283,1.936842105,45.9876862,4.041442188,5.69,1.403508772,0.841673434,0.773421899,19.7,1.935211015,8.521E-11,-1.254724517,-7.25509E-12,2.668751201,0.380092374,0.041473814
SVS,6/18/2013,SVS_4,2416,2395,2013,Short,SV,59.99257706,21.3372922,18.6701307,1.29,51.32075472,1.830103806,49.49065091,3.566011093,8.19,1.418685121,3.653284122,1.529432624,21.55555556,1.844401388,8.12115E-11,-0.216783094,-1.25349E-12,0.03688611,0.858539599,0.000560688
SVC,6/28/2011,SVC_2,104,260,2011,Control,SV,63.53077197,15.6296692,20.8395589,1.29,51.32075472,1.840292275,49.48046244,3.585863624,8.25,1.426583159,7.317960219,3.611622578,n/a,1.713799503,7.54609E-11,0.334088267,1.93177E-12,0.133475451,2.189817955,n/a
SHL,7/16/2012,SHL_2,1556,1523,2012,Lowland,SH,94.66847553,2.66576223,2.66576223,1.38,47.9245283,1.973491454,45.95103685,4.117915239,5.62,1.430066271,n/a,n/a,23.88904012,2.048746003,9.02091E-11,-1.49519165,-8.64552E-12,1.578279529,0.375048247,0.053296613
